passation_hour,visitor_id,age,gender,city_country_residence,nationality,french_level,diploma,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,already_visited,number_visits,last_time_visited,group_or_alone,visit_duration,eye_problem,physical_sleepiness,mental_sleepiness,speed,current_emotion,motiv_curiosity,motiv_else,motiv_familyOut,motiv_price,motiv_schoolOut,motiv_weather,visitGoal_surprised,visitGoal_else,visitGoal_explore,visitGoal_inspiration,visitGoal_fun,visitGoal_interact,visitGoal_learn,visitGoal_noGoal,visitGoal_SeeAgain,visitGoal_mindOff
2019/03/18 2:05:43 PM UTC+2,201903181400,28,woman,"Nancy, France",french,Native/bilingual,PhD,3,2,2,1,5,Yes,1,About a year ago,alone,unlimited,Normal vision,4,3,3,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
2019/03/18 3:03:56 PM UTC+2,201903181410,37,man,"Nancy, France",french,Native/bilingual,PhD,1,1,1,5,5,Yes,1,About a year ago,alone,45,Normal vision,2,2,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019/03/18 5:07:17 PM UTC+2,201903181610,29,man,"Nancy, France",french,Native/bilingual,A levels,1,2,1,3,5,Yes,1,Several years ago,group,unlimited,Normal vision,4,1,4,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
2019/03/18 5:07:21 PM UTC+2,201903181600,29,woman,"Nancy, France",french,Native/bilingual,PhD,1,4,3,4,5,No,0,Never,group,unlimited,Normal vision,3,3,4,5,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
2019/03/20 11:28:21 AM UTC+2,201903201020,50,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",5,5,5,1,5,Yes,5,Several months ago,group,unlimited,Amblyopia,1,1,5,5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2019/03/20 11:28:23 AM UTC+2,201903201010,21,woman,"Nancy, France",french,Native/bilingual,A levels,4,3,2,3,3,Yes,5,A few weeks ago,group,unlimited,Normal vision,1,2,3,5,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1
2019/03/20 1:18:00 PM UTC+2,201903201200,59,man,"Colombey les Belles, France",french,Native/bilingual,"Master's Degree, MS/MSc",2,4,4,1,5,Yes,2,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,1,3,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2019/03/20 1:20:39 PM UTC+2,201903201210,38,woman,"Pierre la Treiche, France",french,Native/bilingual,"Master's Degree, MS/MSc",2,5,1,4,4,Yes,2,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,4,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2019/03/20 3:00:05 PM UTC+2,201903201410,24,man,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",4,3,1,3,5,No,0,Never,group,unlimited,Normal vision,2,4,5,4,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
2019/03/20 3:00:38 PM UTC+2,201903201400,22,woman,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",2,2,4,4,4,No,0,Never,group,unlimited,Normal vision,3,2,3,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
